Target,Variables,Correlation,abs(Correlation)
KWH,AGECENAC,0.33523809147078076,0.33523809147078076
KWH,ACROOMS,0.4889982552081782,0.4889982552081782
KWH,USECENAC,0.45814798408956986,0.45814798408956986
KWH,THERMAINAC,0.4017799796434648,0.4017799796434648
KWH,PROTHERMAC,0.3698923973272348,0.3698923973272348
KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
KWH,TEMPGONEAC,0.40670609953016335,0.40670609953016335
KWH,TEMPNITEAC,0.4165852093459065,0.4165852093459065
KWH,NUMCFAN,0.4078985616837534,0.4078985616837534
KWH,USECFAN,0.31079232352766073,0.31079232352766073
KWH,SWIMPOOL,0.3974358845105034,0.3974358845105034
KWH,NOUTLGTNT,0.3549304588576313,0.3549304588576313
KWH,WINDOWS,0.3124686452406085,0.3124686452406085
KWH,USENG,-0.33147257949802156,0.33147257949802156
KWH,ELWARM,0.3112288483025626,0.3112288483025626
KWH,ELWATER,0.3671771179566893,0.3671771179566893
KWH,UGWATER,-0.3260742276792467,0.3260742276792467
KWH,PELHEAT,0.3009394557887871,0.3009394557887871
KWH,PELHOTWA,0.36277412172691287,0.36277412172691287
KWH,PELAC,0.3844373102546891,0.3844373102546891
KWH,PGASHTWA,-0.35775952136702627,0.35775952136702627
KWH,NHSLDMEM,0.3362100510093768,0.3362100510093768
KWH,HUPROJ,-0.3157853990412146,0.3157853990412146
KWH,TOTSQFT,0.4142405553907265,0.4142405553907265
KWH,TOTSQFT_EN,0.40975434389073184,0.40975434389073184
KWH,TOTHSQFT,0.4358897828802115,0.4358897828802115
KWH,TOTCSQFT,0.5095914576869386,0.5095914576869386
KWH,KWH,1.0,1.0
KWH,KWHSPH,0.4168857743249323,0.4168857743249323
KWH,KWHCOL,0.622990959227097,0.622990959227097
KWH,KWHWTH,0.47909533379345237,0.47909533379345237
KWH,KWHRFG,0.6297232687951255,0.6297232687951255
KWH,KWHOTH,0.871443885888537,0.871443885888537
KWH,BTUEL,0.999999999806134,0.999999999806134
KWH,BTUELSPH,0.41688564260104644,0.41688564260104644
KWH,BTUELCOL,0.6229911475317684,0.6229911475317684
KWH,BTUELWTH,0.47909506774993005,0.47909506774993005
KWH,BTUELRFG,0.629723650804695,0.629723650804695
KWH,BTUELOTH,0.87144382714418,0.87144382714418
KWH,DOLLAREL,0.903403417913086,0.903403417913086
KWH,DOLELSPH,0.40225080504770716,0.40225080504770716
KWH,DOLELCOL,0.5820430835085504,0.5820430835085504
KWH,DOLELWTH,0.454197460488676,0.454197460488676
KWH,DOLELRFG,0.4468959890702116,0.4468959890702116
KWH,DOLELOTH,0.7456235101985562,0.7456235101985562
KWH,TOTALBTU,0.3417971767704198,0.3417971767704198
KWH,TOTALBTUCOL,0.622991821383615,0.622991821383615
KWH,TOTALBTURFG,0.6297234632792245,0.6297234632792245
KWH,TOTALBTUOTH,0.7101202791475262,0.7101202791475262
KWH,TOTALDOL,0.6187776564839047,0.6187776564839047
KWH,TOTALDOLCOL,0.5820849285071642,0.5820849285071642
KWH,TOTALDOLWTH,0.5172025501066232,0.5172025501066232
KWH,TOTALDOLRFG,0.4468726724874207,0.4468726724874207
KWH,TOTALDOLOTH,0.6909082058617485,0.6909082058617485
KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
KWH,PERIODNG,-0.35626866612982755,0.35626866612982755
KWH,SCALENG,-0.35634924934051826,0.35634924934051826
KWH,OA_LAT,0.31676236622900933,0.31676236622900933
